Symbol,Company Name,Date-Start,Date-End,Sector,Delisting-Date
ABACQ,Abacan Resource Corp,,1999-04-08,,1999-04-08
ABAN,American Bancshares Inc,1972-12-14,2000-03-20,Financial,2000-03-20
ABAX,Abaxis Inc,1992-01-23,2018-07-31,Healthcare,2018-07-31
ABBBY,Abb Asea Brown Boveri Ltd.,1996-05-23,1999-07-16,Industrials,1999-07-16
ABBC,Abington Bancorp Inc,2004-12-17,2011-09-30,,2011-09-30
ABBK,Abington Bancorp Inc,1986-06-10,2004-04-28,,2004-04-27
ABBNY,Abb Ltd.,,2023-05-22,Industrials,2023-05-22
ABCC,Abc Dispensing Technologies Inc,1978-01-03,1998-10-07,Technology,1998-10-07
ABCD,Cambium Learning Group Inc,2009-12-09,2018-12-17,Technology,2018-12-17
ABCM,Abcam PLC,2020-10-22,2023-12-05,Financial,2023-12-05
ABCRQ,Abc Naco Inc,,2001-10-12,Communication Services,2001-10-12
ABCW,Anchor Bancorp Wisconsin Inc,1992-07-16,2016-04-29,Financial,2016-04-29
ABCWQ,Anchor Bancorp Wisconsin Inc,,2013-09-27,Financial,2013-09-27
ABDC,Alcentra Capital Corp,2014-05-09,2020-01-31,Communication Services,2020-01-31
ABDS,Allegro Biodiesel Corp,,2010-08-12,,2010-08-12
ABF,Airborne Inc,1971-01-05,2003-08-15,Healthcare,2003-08-15
ABFIQ,American Business Financial Services Inc,,2008-06-25,Financial,2008-06-25
ABGBY,Abengoa SA,,2016-05-12,Utilities,2016-05-12
ABGX,Abgenix Inc,1998-07-02,2006-03-31,Healthcare,2006-03-31
ABHH,American Bank Note Holographics Inc,,2008-02-15,Financial,2008-02-15
ABII,Abraxis Bioscience Inc,1992-02-19,2010-10-15,Healthcare,2010-10-15
ABILF,Ability Inc,,2021-12-01,Technology,2021-12-01
ABIX,Abatix Corp,1989-03-14,2007-09-14,,2012-10-01
ABIZQ,Adelphia Business Solutions Inc,,2002-04-04,Technology,2002-04-04
ABKFQ,Ambac Financial Group Inc,,2013-04-30,Financial,2013-04-30
ABLSQ,Able Laboratories Inc,,2006-08-15,Healthcare,2006-08-15
ABLX,Ablynx Nv,2017-10-25,2018-06-12,Healthcare,2018-06-12
ABMC,American Bio Medica Corp,1983-08-25,2009-09-02,Healthcare,2022-07-07
ABMD,Abiomed Inc,1972-12-14,2022-12-21,Healthcare,2022-12-21
ABNJ,American Bancorp Of New Jersey Inc,1972-12-14,2009-05-29,Financial,2009-05-29
ABNTQ,American Banknote Corp,,1999-08-02,Financial,1999-08-02
ABOV,Abovenet Communications Inc,1998-12-10,1999-09-08,Communication Services,1999-09-08
ABPI,Accentia Biopharmaceuticals Inc,1984-12-21,2008-11-03,Healthcare,2013-11-19
ABS,Albertsons Inc,1962-07-02,2006-06-01,Consumer Staples,2006-06-01
ABSC,Aurora Biosciences Corp,1997-06-19,2001-07-18,Financial,2001-07-18
ABST,Absolute Software Corp,2020-10-28,2023-07-26,Technology,2023-07-26
ABTE,Able Telcom Holding Corp,1994-02-28,2000-10-09,Communication Services,2000-10-09
ABTX,Allegiance Bancshares Inc,1995-05-24,2022-09-30,Financial,2022-09-30
ABTXQ,Agribiotech Inc,,2000-01-24,Healthcare,2000-01-24
ABV,American Beverage Co Ambev,1962-07-02,2013-11-10,Consumer Staples,2013-11-12
ABVA,Alliance Bankshares Corp,2001-12-05,2012-12-21,Financial,2012-12-21
ABVT,Abovenet Inc,2009-05-12,2012-06-29,Communication Services,2012-06-29
ABWG,Ab Watley Group Inc,1999-09-01,2002-04-03,Communication Services,2006-10-17
ABWTQ,Bowater Inc,,2010-12-09,Utilities,2010-12-09
ACAMY,Acambis PLC,,2007-02-13,Healthcare,2007-02-13
ACAP,American Physicians Capital Inc,1985-11-01,2010-10-22,Financial,2010-10-22
ACAS,American Capital Ltd.,1997-08-29,2017-01-03,Financial,2017-01-03
ACAT,Arctic Cat Inc,1990-06-26,2017-03-06,Industrials,2017-03-06
ACBI,Atlantic Capital Bancshares Inc,1994-06-24,2022-02-28,Industrials,2022-02-28
ACC,American Campus Communities Inc,1962-07-02,2022-08-09,Real Estate,2022-08-09
ACCC,Acc Corp,1985-12-17,1998-04-22,Technology,1998-04-21
ACCD,Accolade Inc,2000-06-29,2024-12-31,Financial,2025-04-07
ACCL,Accelrys Inc,1995-12-05,2014-04-29,Healthcare,2014-04-28
ACCT,Argent Capital Corp,1986-10-31,1998-10-27,Financial,1998-10-27
ACDO,Accredo Health Inc,1999-04-16,2005-08-18,Healthcare,2005-08-18
ACEC,Ace Comm Corp,1996-08-14,2007-09-14,Financial,2007-10-22
ACEE,Acme Electric Corp,1999-10-07,2000-11-21,Utilities,2000-11-21
ACEP,Parts Source Inc,1996-04-09,1999-05-07,Consumer Discretionary,1999-05-07
ACER,Acer Therapeutics Inc,2017-09-21,2023-11-08,Healthcare,2023-11-08
ACETQ,Aceto Corp,,2019-04-02,Healthcare,2019-04-02
ACF,Americredit Corp,1962-07-02,2010-09-30,Financial,2010-09-30
ACFC,Atlantic Coast Financial Corp,1973-12-31,2018-05-25,Financial,2018-05-25
ACGN,Aceragen Inc,2023-01-18,2023-08-21,Communication Services,2023-08-21
ACGP,Associated Capital Group Inc,,2025-09-04,Financial,2025-09-04
ACHHY,Aluminum Corp Of China Ltd.,,2022-09-01,Materials,2022-09-01
ACHL,Achilles Therapeutics PLC,2021-03-31,2024-12-31,Healthcare,2025-03-20
ACHN,Achillion Pharmaceuticals Inc,2006-10-26,2020-01-27,Healthcare,2020-01-27
ACIA,Acacia Communications Inc,2016-05-13,2021-02-26,Communication Services,2021-02-26
ACIIQ,Arch Coal Inc,,2016-10-04,Materials,2016-10-04
ACKHQ,Armstrong Holdings Inc,,2007-12-12,Industrials,2007-12-12
ACKIT,Ackrell Spac Partners I Co.,,2022-08-31,,2022-08-31
ACL,Alcon Inc,1962-07-02,2011-04-08,Healthcare,2011-04-08
ACLA,Aclara Biosciences Inc,2000-03-21,2004-12-10,Healthcare,2004-12-10
ACLI,American Commercial Lines Inc,2005-10-07,2010-12-21,Communication Services,2010-12-21
ACLNF,Acln Ltd.,1998-06-29,2001-07-17,Financial,2002-03-15
ACME,Acme Communications Inc,1972-12-14,2008-10-31,Communication Services,2015-11-25
ACMI,Accumed International Inc,1996-01-02,2000-11-29,,2000-11-29
ACMM,Accom Inc,1995-09-27,1998-07-20,Industrials,2005-09-01
ACNAQ,Air Canada,,2004-09-30,Industrials,2004-09-30
ACNI,American Community Newspapers Inc,,2017-04-07,Materials,2017-04-07
ACO,Amcol International Corp,1962-07-02,2014-05-09,Materials,2014-05-09
ACOM,Ancestrycom Inc,1978-12-12,2012-12-28,Technology,2012-12-28
ACORQ,Acorda Therapeutics Inc,,2024-04-11,Healthcare,2024-04-11
ACQR,Independence Holdings Corp,2021-04-29,2023-03-10,Financial,2023-03-10
ACRTQ,Actrade Financial Technologies Ltd.,,2004-01-08,Financial,2004-01-08
ACRUQ,Accrue Software Inc,,2002-09-26,Technology,2002-09-26
ACS,Affiliated Computer Services Inc,1962-07-02,2010-02-05,Technology,2010-02-05
ACSC,Advanced Communication Systems Inc,1977-03-23,2000-02-25,Communication Services,2000-02-25
ACSEF,Acs - Tech 80 Ltd.,1997-09-25,2008-10-15,Materials,2008-10-22
ACSF,American Capital Senior Floating Ltd.,2014-01-16,2018-08-24,Financial,2018-08-24
ACTA,Actua Corp,1987-04-07,2018-02-07,Energy,2018-04-19
ACTI,Actividentity Corp,1995-10-26,2010-12-16,Healthcare,2010-12-16
ACTRQ,Acterna Corp,,2003-10-14,Communication Services,2003-10-14
ACTS,Actions Semiconductor Co Ltd.,1987-12-08,2016-12-19,Technology,2016-12-16
ACUR,Acura Pharmaceuticals Inc,2008-02-04,2017-02-22,Healthcare,2022-08-02
ACUS,Acusphere Inc,2003-10-08,2009-01-08,Healthcare,2016-07-07
ACV.A,Alberto-culver Co.,,2003-11-05,Industrials,2003-11-05
ACVC,Active Voice Corp,1993-12-14,2001-02-14,Communication Services,2001-02-14
ACW,Accuride Corp,2005-04-26,2016-11-17,Communication Services,2016-11-17
ACX,Arguss Communications Inc,1970-11-11,2002-02-21,Communication Services,2002-02-21
ADAPQ,Adaptive Broadband Corp,,2001-05-14,Communication Services,2001-05-14
ADAPY,Adaptimmune Therapeutics PLC,,2025-10-28,Healthcare,2025-10-28
ADAX,Applied Digital Access Inc,1983-06-15,1999-11-08,Technology,1999-11-08
ADBL,Audible Inc,1999-07-16,2008-03-18,Consumer Discretionary,2008-03-18
ADCC,Andean Development Corp,1983-11-18,2000-03-15,Financial,2000-03-15
ADELQ,Adelphia Communications Corp,,2007-02-12,Communication Services,2007-02-12
ADEP,Adept Technology Inc,2005-11-15,2015-10-23,Technology,2015-10-23
ADFC,Adforce Inc,1988-06-21,2000-01-11,Communication Services,2000-01-11
ADFS,American Defense Systems Inc,,2015-11-24,Industrials,2015-11-24
ADGE,American Dg Energy Inc,1978-10-03,2017-05-18,Energy,2017-05-17
ADGF,Adams Golf Inc,2008-03-13,2012-05-31,Industrials,2012-05-31
ADIC,Advanced Digital Information Corp,1996-10-21,2006-08-22,Technology,2006-08-22
ADLI,American Medical Technologies Inc,1991-06-18,2003-03-25,Healthcare,2009-10-23
ADLR,Adolor Corp,1992-05-05,2011-12-09,Healthcare,2011-12-12
ADLTQ,Advanced Lighting Technologies Inc,,2003-12-10,Technology,2003-12-10
ADMGQ,Advanced Materials Group Inc,,2009-12-22,Materials,2009-12-22
ADMS,Adamas Pharmaceuticals Inc,1987-07-01,2021-11-23,Healthcare,2021-11-23
ADMT,Adm Tronics Unlimited Inc,1990-07-19,1998-12-16,,1998-12-15
ADNC,Audience Inc,1994-10-20,2015-06-30,Communication Services,2015-06-30
ADO,Adecco SA,1972-11-02,2007-06-01,Technology,2007-06-01
ADPC,Allied Products Corp,,2000-10-02,Energy,2000-10-02
ADPI,American Dental Partners Inc,1998-04-16,2012-02-09,Technology,2012-02-09
ADPTQ,Adeptus Health Inc,,2017-04-11,Healthcare,2017-04-11
ADRNY,Koninklijke Ahold Nv,,2007-07-23,Consumer Staples,2007-07-23
ADRRF,Adrian Resources Ltd.,,1999-04-09,Communication Services,1999-04-09
ADRT,Ault Disruptive Technologies Corp,2022-02-07,2024-10-10,Healthcare,2024-10-10
ADRX,Andrx Corp,1996-06-14,2006-11-03,Healthcare,2006-11-03
ADSC,Atlantic Data Services Inc,1980-08-12,2003-11-12,Communication Services,2003-11-12
ADSI,American Disposal Services Inc,1988-10-27,1998-10-15,Energy,1998-10-15
ADSPQ,Ariel Corp,,2001-10-15,Healthcare,2001-10-15
ADST,Adstar Inc,2000-01-18,2008-03-26,Technology,2008-04-10
ADSW,Advanced Disposal Services Inc,2016-10-06,2020-10-29,Industrials,2020-10-29
ADTCQ,Advanced Deposition Technologies Inc,,2001-04-04,Industrials,2001-04-04
ADTH,Adtheorent Holding Company Inc,2021-12-23,2024-06-20,Technology,2024-06-20
ADVBQ,Advanta Corp,,2010-09-20,Financial,2010-09-20
ADVNQ,Advanta Corp,,2010-06-28,Financial,2010-06-28
ADVP,Advancepcs,1996-10-08,2004-03-24,Healthcare,2004-03-24
ADVS,Advent Software Inc,1972-12-14,2015-07-07,Technology,2015-07-07
ADXS,Ayala Pharmaceuticals Inc,2013-10-17,2021-12-22,Healthcare,2022-06-06
ADY,Feihe International Inc,2006-03-08,2013-06-27,Consumer Discretionary,2013-06-27
ADYN,Avidyn Inc,1991-07-18,2003-01-10,Technology,2003-01-10
ADYX,Adynxx Inc,2019-05-06,2019-06-12,,2021-08-27
ADZA,Adeza Biomedical Corp,2004-12-10,2007-04-02,Healthcare,2007-04-02
AE,Adams Resources & Energy Inc,1970-11-13,2024-12-31,Energy,2025-02-04
AEA,Advance America Cash Advance Centers Inc,2004-12-16,2012-04-23,Financial,2012-04-23
AEB,Aegon Ltd.,,2021-09-14,Financial,2021-09-14
AED,Aegon Ltd.,1995-11-03,2005-07-22,Financial,2019-06-14
AEDC,American Energy Development Corp,1983-10-06,1989-03-10,Energy,2015-02-04
AEGN,Aegion Corp,2000-11-10,2021-05-14,,2021-05-14
AEGR,Aegerion Pharmaceuticals Inc,2010-10-22,2016-11-29,Healthcare,2016-11-29
AEH,Aegon Ltd.,1996-10-01,1999-02-03,Financial,2019-12-13
AEIC,Air Express International Corp,1978-03-31,2000-02-14,Industrials,2000-02-14
AEK,Aegon Ltd.,,2018-04-12,Financial,2018-04-12
AEL,American Equity Investment Life Holding Co.,1964-09-03,2024-05-02,Financial,2024-05-02
AEMI,Access To Money Inc,,2011-10-31,Financial,2011-10-31
AENZ,Aenza Saa,2020-11-12,2023-12-07,Industrials,2023-12-06
AEPI,Aep Industries Inc,1986-01-30,2017-01-20,Consumer Staples,2017-01-20
AERG,Applied Energetics Inc,2008-02-20,2011-12-20,Technology,2018-08-14
AERI,Aerie Pharmaceuticals Inc,1984-05-10,2022-11-18,Healthcare,2022-11-18
AERO,Aerogrow International Inc,1981-04-14,2009-05-01,Energy,2009-06-08
AESC,Aes Corp,1987-04-06,1996-10-15,Utilities,2024-02-14
AESK,American Skiing Co.,,2002-03-13,Consumer Discretionary,2002-03-13
AESP,Aesp Inc,1997-02-13,2004-08-18,Communication Services,2007-07-20
AET,Aetna Inc,1968-09-24,2018-11-28,Healthcare,2018-11-28
AETCQ,Applied Extrusion Technologies Inc,,2005-03-14,Technology,2005-03-14
AETUF,Arc Resources Ltd.,,2017-05-16,Energy,2017-05-16
AEUA,Anadarko Petroleum Corp,,2018-06-06,Energy,2018-06-06
AEYGQ,Addvantage Technologies Group Inc,,2024-02-12,,2024-02-12
AEZ,American Oil & Gas Inc,2005-05-17,2010-12-17,Energy,2010-12-16
AF,Astoria Financial Corp,1962-07-02,2017-09-29,Financial,2017-09-29
AFA,American Financial Group Inc,,2017-07-20,Financial,2017-07-20
AFAM,Almost Family Inc,2000-02-01,2018-03-29,Communication Services,2018-03-29
AFBC,Advance Financial Bancorp,1997-01-02,2004-12-30,Financial,2004-12-29
AFBK,Albemarle First Bank,1972-12-14,2006-06-30,Financial,2006-06-30
AFC,Allied Capital Corp,1962-07-02,2005-11-30,Financial,2021-03-24
AFCB,Athens Bancshares Corp,1995-10-19,2015-12-18,Financial,2015-12-07
AFCI,Advanced Fibre Communications Inc,1996-10-01,2004-11-30,Communication Services,2004-11-30
AFCO,American Farmland Co.,1980-01-09,2017-02-01,Financial,2017-02-01
AFCX,Afc Cable Systems Inc,1986-12-03,1999-11-22,Communication Services,1999-11-22
AFED,Afsala Bancorp Inc,1986-05-12,1998-11-12,,1998-11-05
AFFIQ,Affinity Technology Group Inc,,2008-07-31,Technology,2008-07-31
AFFMQ,Affirmative Insurance Holdings Inc,,2015-10-15,Financial,2015-10-15
AFFS,Amtrust Financial Services Inc,,2019-02-07,Financial,2019-02-07
AFFT,Amtrust Financial Services Inc,,2019-02-07,Financial,2019-02-07
AFFX,Affymetrix Inc,1996-06-06,2016-03-31,Healthcare,2016-03-31
AFFY,Affymax Inc,2006-12-15,2013-06-05,Healthcare,2015-08-27
AFGH,American Financial Group Inc,,2020-11-13,Financial,2020-11-13
AFHIQ,Atlas Financial Holdings Inc,,2022-03-11,Financial,2022-03-11
AFIB,Acutus Medical Inc,2020-08-06,2024-05-08,Healthcare,2024-05-08
AFIIQ,Armstrong Flooring Inc,,2022-05-20,Industrials,2022-05-20
AFIS,Printrak International Inc,1996-07-02,2000-11-13,Communication Services,2000-11-13
AFLX,Adflex Solutions Inc,1994-09-27,1999-09-14,,1999-09-14
AFM,Amfm Inc,1970-11-06,2000-08-30,Communication Services,2000-08-30
AFMDQ,Affimed Nv,,2025-05-19,Healthcare,2025-05-19
AFOP,Alliance Fiber Optic Products Inc,2000-11-21,2016-06-06,Communication Services,2016-06-06
AFQ,American Financial Group Inc,,2015-08-28,Financial,2015-08-28
AFS.A,Associates First Capital Corp,,2000-11-30,Financial,2000-11-30
AFSD,Aflac Inc,,2017-11-16,Financial,2017-11-16
AFSI,Amtrust Financial Services Inc,1981-12-10,2018-11-28,Financial,2018-11-29
AFW:CL,American Financial Group Inc,,2017-06-23,Financial,2017-06-23
AFWY,American Freightways Corp,1989-03-30,2001-02-09,Industrials,2001-02-09
AGAI,Ag Associates Inc,1983-12-15,1999-03-02,Technology,1999-03-02
AGAM,Aga Medical Holdings Inc,1993-10-27,2010-11-18,Healthcare,2010-11-18
AGATQ,U S Aggregates Inc,,2001-11-23,Industrials,2001-11-23
AGBG,Ab Holding Group Inc,1990-04-24,1999-01-13,Communication Services,1999-01-13
AGCB,Altimeter Growth Corp 2,2021-01-07,2022-12-20,Financial,2022-12-20
AGCCQ,Anchor Glass Container Corp,,2006-05-04,Industrials,2006-05-04
AGCH,Ag-chem Equipment Co Inc,1995-04-24,2001-04-16,Industrials,2001-04-16
AGDM,Americana Gold & Diamond Holdings Inc,1994-01-19,1998-11-06,Consumer Staples,1998-11-06
AGFS,Agrofresh Solutions Inc,2015-08-03,2023-03-30,Technology,2023-03-30
AGGR,Agile Growth Corp,2021-04-30,2023-03-10,Technology,2023-03-10
AGHC,Aeon Global Health Corp,,2021-08-27,Healthcare,2021-08-27
AGILQ,Agilethought Inc,,2023-11-22,,2023-11-22
AGILWQ,Agilethought Inc,,2023-11-22,,2023-11-22
AGIS,Aegis Communications Group Inc,1989-03-13,1999-09-17,Communication Services,2006-11-08
AGIXQ,Atherogenics Inc,,2009-03-31,Healthcare,2009-03-31
AGLFQ,Atlantic Gulf Communities Corp,,1998-12-10,Energy,1998-12-10
AGN,Allergan PLC,1962-07-02,2020-05-08,Healthcare,2020-05-08
AGNCB,Agnc Investment Corp,,2019-11-25,Financial,2019-11-25
AGNT,Argonaut Technologies Inc,2000-07-19,2005-07-07,Technology,2010-09-17
AGNUQ,Ag&e Holdings Inc,,2018-10-18,Healthcare,2018-10-18
AGP,Amerigroup Corp,1973-04-18,2012-12-21,Healthcare,2012-12-21
AGPH,Agouron Pharmaceuticals Inc,1987-03-20,1999-05-17,Healthcare,1999-05-17
AGR,Avangrid Inc,1993-05-12,2024-12-20,Energy,2024-12-20
AGR.B,Agere Systems Inc,,2005-05-27,Technology,2005-05-27
AGRPA,Associated Group Inc,1994-12-23,2000-01-14,Real Estate,2000-01-14
AGRPB,Associated Group Inc,1994-12-23,2000-01-14,Real Estate,2000-01-14
AGRX,Agile Therapeutics Inc,2014-05-23,2024-03-25,Healthcare,2024-03-25
AGS,Playags Inc,1962-07-02,2024-12-31,Materials,2025-06-30
AGTC,Applied Genetic Technologies Corp,2014-03-27,2022-11-30,Technology,2022-11-30
AGTI,Agiliti Inc,2021-04-23,2024-05-06,Healthcare,2024-05-06
AGTO,Agritope Inc,1998-01-08,2000-12-08,Consumer Staples,2000-12-08
AGU,Agrium Inc,1996-10-04,2017-12-29,Consumer Discretionary,2017-12-29
AGY,Argosy Gaming Co.,1993-02-18,2005-10-03,Consumer Discretionary,2005-10-03
AH,Armor Holdings Inc,1962-07-02,2007-07-31,Industrials,2007-07-31
AHAG,Alpha Technologies Group Inc,,2006-11-29,Financial,2006-11-29
AHCI,Allied Healthcare International Inc,1995-12-27,2011-10-20,Healthcare,2011-10-20
AHE,American Health Properties Inc,1987-02-12,1999-11-04,Healthcare,1999-11-04
AHGP,Alliance Holdings Gp Lp,2006-05-10,2018-05-31,Financial,2018-05-31
AHI,Advanced Health Intelligence Ltd.,1984-08-24,2024-01-31,Healthcare,2024-04-12
AHII,American Heritage International Inc,2007-01-31,2011-06-10,Consumer Discretionary,2014-12-31
AHIZQ,Allied Systems Holdings Inc,,2005-07-29,Communication Services,2005-07-29
AHLS,Ahl Services Inc,1997-03-27,2003-08-21,Communication Services,2003-08-21
AHMIQ,American Home Mortgage Investment Corp,,2010-11-16,Financial,2010-11-16
AHNA,Atc Healthcare Inc,,2011-02-08,Healthcare,2011-02-08
AHNCQ,Atchison Casting Corp,,2002-06-25,Materials,2002-06-25
AHOM,American Homepatient Inc,1983-08-16,1999-09-01,Healthcare,2010-10-12
AHPIQ,Allied Healthcare Products Inc,,2023-02-02,Healthcare,2023-02-02
AHTCQ,Aht Corp,,2000-09-22,Consumer Discretionary,2000-09-22
AHWY,Audio Highway-com,1998-12-18,2001-01-10,Communication Services,2001-01-10
AIC,Arlington Asset Investment Corp,1962-07-02,2006-09-29,Financial,2024-01-05
AICIQ,Acceptance Insurance Companies Inc,,2003-04-23,Financial,2003-04-23
AICOQ,Amcast Industrial Corp,,2005-08-05,Industrials,2005-08-05
AICX,Applied Imaging Corp,1996-11-07,2006-01-24,Technology,2006-11-22
AIEV,Thunder Power Holdings Inc,2024-06-24,2024-12-31,Utilities,2025-04-21
AIFC,American Indemnity Financial Corp,1977-04-01,1999-08-10,Financial,1999-08-10
AIII,Acre Realty Investors Inc,1996-02-07,2017-06-28,Real Estate,2017-06-28
AIIXY,Aixtron Se,,2017-07-17,Technology,2017-07-17
AIJ,American Insured Mortgage Investors L P Series 86,1994-01-18,2004-02-13,Financial,2004-02-13
AIK,American Insured Mortgage Investors L P Series 88,1994-01-18,2004-02-13,Financial,2004-02-13
AILEQ,Ilearningengines Inc,,2024-12-31,,2024-12-31
AILP,Alpnet Inc,1986-06-26,2001-09-07,Financial,2002-02-01
AIMC,Altra Industrial Motion Corp,2006-12-15,2023-03-24,Industrials,2023-03-24
AIMG,Aimglobal Technologies Co Inc,1987-08-20,1988-11-18,Consumer Discretionary,2002-10-02
AIMM,Autoimmune Inc,1993-01-21,2004-05-25,Healthcare,2011-10-05
AIMT,Aimmune Therapeutics Inc,1981-10-29,2020-10-12,Healthcare,2020-10-12
AINC,Ashford Inc,1972-12-14,2024-07-26,Real Estate,2024-07-26
AIND,Arnold Industries Inc,1972-12-18,2001-11-30,Consumer Discretionary,2001-11-30
AINN,Applied Innovation Inc,1993-05-18,2007-05-10,Technology,2007-05-10
AIPC,American Italian Pasta Co.,2008-11-14,2010-07-27,Consumer Staples,2010-07-27
AIPN,American International Petroleum Corp,1986-12-17,2000-11-06,Energy,2000-11-06
AIRC,Apartment Income Reit Corp,1986-03-07,2024-06-27,Real Estate,2024-06-27
AIRM,Air Methods Corp,1987-08-27,2017-04-20,Healthcare,2017-04-20
AIRV,Airvana Inc,2007-07-20,2010-04-09,Communication Services,2010-04-09
AIU,Meta Data Ltd.,1963-03-01,2024-08-13,Communication Services,2024-08-13
AIW,Arlington Asset Investment Corp,,2021-08-05,Financial,2021-08-05
AIY,Midcap Financial Investment Corp,,2019-08-09,Financial,2019-08-09
AIZP,Assurant Inc,,2021-03-12,Real Estate,2021-03-12
AJAYQ,Ajay Sports Inc,,1998-09-04,Industrials,1998-09-04
AJL,Amway Japan Ltd.,1994-06-29,2000-10-02,Industrials,2000-10-02
AJRD,Aerojet Rocketdyne Holdings Inc,2015-04-27,2023-07-27,Industrials,2023-07-27
AK,Ackerley Group Inc,1988-04-21,2002-06-14,Communication Services,2002-06-14
AKAOQ,Achaogen Inc,,2020-06-03,Healthcare,2020-06-03
AKCA,Akcea Therapeutics Inc,2017-07-14,2020-10-09,Healthcare,2020-10-09
AKLI,Akili Inc,2022-08-22,2024-07-01,Healthcare,2024-07-01
AKLMQ,Acclaim Entertainment Inc,,2004-11-10,Communication Services,2004-11-10
AKRXQ,Akorn Inc,,2020-10-02,Healthcare,2020-10-02
AKS,Ak Steel Holding Corp,1995-04-05,2020-03-12,Materials,2020-03-12
AKSEF,Arakis Energy Corp,1993-06-10,1998-10-08,Energy,1998-10-08
AKTSQ,Akoustis Technologies Inc,,2024-12-17,Utilities,2024-12-17
AKUMQ,Akumin Inc,,2023-10-25,,2023-10-25
AKUS,Akouos Inc,2020-06-26,2022-11-30,Healthcare,2022-11-30
AKYA,Akoya Biosciences Inc,2021-04-16,2024-12-31,Healthcare,2025-07-08
AKZOY,Akzo Nobel Nv,1989-05-08,2007-08-24,Industrials,2019-01-23
ALAN,Alanco Technologies Inc,1982-05-14,2011-07-25,Industrials,2017-11-20
ALAO,Alcatel Lucent,2000-10-20,2003-04-17,Communication Services,2003-04-17
ALBC,Albion Banc Corp,1989-05-18,2000-03-24,Utilities,2000-03-21
ALBK,Albank Financial Corp,1992-04-01,1998-11-30,Financial,1998-11-30
ALBO,Albireo Pharma Inc,2016-11-04,2023-03-02,Healthcare,2023-03-02
ALBY,Community Capital Bancshares Inc,2001-03-21,2008-02-08,Financial,2008-02-25
ALCD,Alcide Corp,1983-05-26,2004-07-30,Communication Services,2004-07-30
ALCE,Alternus Clean Energy Inc,2023-12-26,2024-12-31,Energy,2025-02-11
ALCI,Allcity Insurance Co.,1987-05-27,2002-02-22,Financial,2003-09-25
ALCSQ,Alco Stores Inc,,2015-07-22,Consumer Discretionary,2015-07-22
ALDA,Aldila Inc,1993-06-08,2010-02-05,Industrials,2013-03-26
ALDN,Aladdin Knowledge Systems Ltd.,1992-08-18,2009-03-24,Technology,2009-03-24
ALDR,Alder Biopharmaceuticals Inc,2014-05-08,2019-10-21,Healthcare,2019-10-21
ALDW,Alon Usa Partners Lp,2012-11-20,2018-02-06,Energy,2018-02-06
ALFC,Atlantic Liberty Financial Corp,1993-11-17,2006-06-30,Financial,2006-06-30
